"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Smart Health Integrated Framework and Topology (SHIFT) for Smart and Connected Community","B. I. Morshed","Department of Computer Science, Texas Tech University, Lubbock, TX, USA","2021 IEEE International Conference on Electro Information Technology (EIT)","26 Jul 2021","2021","","","250","254","A smart and connected communities (S&CC) will utilize existing and emerging technologies to collect heterogeneous spatiotemporally distributed data and artificial intelligence (AI) to seamlessly generate meaningful knowledge that will benefit both individuals and S&CC. We have developed a framework for Health and Wellbeing of S&CC that includes existing and emerging sensors for data collection from users of the community, a custom smartphone app with real-time AI algorithms for edge-computing, and a webserver for spatiotemporal visualization of abstracted information for community stakeholders. We propose to extend this framework towards an enhanced Smart Health Integrated Framework and Topology (SHIFT) through incorporating a uniform hierarchical layer-based architecture for S&CC. The proposed concept was simulated to depict data processing and visualization approach. The proposed framework takes advantage of evolving topology of smart sensors and devices, in addition to being transferable and scalable.","2154-0373","978-1-6654-1846-1","10.1109/EIT51626.2021.9491837","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9491837","AI;Edge computing;Mobile health;Privacy;Scalable framework;Smart health;Spatiotemporal data","Smart healthcare;Urban areas;Distributed databases;Data visualization;Real-time systems;Topology;Spatiotemporal phenomena","artificial intelligence;data analysis;data visualisation;intelligent sensors;Internet;mobile computing;smart phones","artificial intelligence;meaningful knowledge;S&CC;data collection;custom smartphone app;real-time AI algorithms;spatiotemporal visualization;community stakeholders;SHIFT;uniform hierarchical layer-based architecture;depict data processing;visualization approach;smart sensors;connected community;smart communities;connected communities;spatiotemporally distributed data;enhanced smart health integrated framework and topology","","","","19","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
"Variational Self-attention Network for Sequential Recommendation","J. Zhao; P. Zhao; L. Zhao; Y. Liu; V. S. Sheng; X. Zhou","School of Computer Science and Technology, Soochow University, Suzhou, China; School of Computer Science and Technology, Soochow University, Suzhou, China; School of Computer Science and Technology, Soochow University, Suzhou, China; Rutgers University, New Jersey, USA; Department of Computer Science, Texas Tech University, Lubbock, USA; The Hong Kong University of Science and Technology, Hong Kong SAR, China","2021 IEEE 37th International Conference on Data Engineering (ICDE)","22 Jun 2021","2021","","","1559","1570","Sequential recommendation has become an attractive topic in recommender systems. Existing sequential recommendation methods, including the methods based on the state-of-the-art self-attention mechanism, usually employ deterministic neural networks to represent user preferences as fixed-points in the latent feature spaces. However, the fixed-point vector lacks the ability to capture the uncertainty and dynamics of user preferences that are prevalent in recommender systems. In this paper, we propose a new Variational Self-Attention Network (VSAN), which introduces a variational autoencoder (VAE) into the self-attention network to capture latent user preferences. Specifically, we represent the obtained self-attention vector as density via variational inference, whose variance well characterizes the uncertainty of user preferences. Furthermore, we employ self-attention networks to learn the inference process and generative process of VAE, which well captures long-range and local dependencies. Finally, we evaluate our proposed method VSAN with two public real-world datasets. Our experimental results show the effectiveness of our model compared to the state-of-the-art approaches.","2375-026X","978-1-7281-9184-3","10.1109/ICDE51399.2021.00138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9458633","variational;attention;sequential recommendation","Uncertainty;Conferences;Neural networks;Data engineering;Recommender systems","data mining;learning (artificial intelligence);neural nets;recommender systems","sequential recommendation methods;state-of-the-art self-attention mechanism;deterministic neural networks;fixed-points;latent feature spaces;fixed-point vector;recommender systems;Variational Self-Attention Network;variational autoencoder;latent user preferences;self-attention vector;variational inference;method VSAN;Variational Self-attention Network;attractive topic","","10","","45","IEEE","22 Jun 2021","","","IEEE","IEEE Conferences"
"Machine Learning Attack on a Multiplexer PUF Variant Using Silicon Data: a Case Study on rMPUFs","M. A. Alamro; K. T. Mursi","Department of Computer Science, Texas Tech University, Lubbock, USA; College of Computer Science and Engineering, University of Jeddah, Jeddah, Saudi Arabia","2021 IEEE 6th International Conference on Computer and Communication Systems (ICCCS)","21 Jun 2021","2021","","","1017","1022","The security of Physical Unclonable Functions (PUFs) remains central and persists as an obstacle to the applicability of some designs. A Multiplexer PUF variant called (rMPUF) was recently proposed to enhance the security of the delay-based PUFs, which they show that the design is secure against machine learning attacks based on simulated data. In this paper, we take the analysis on rMPUFs to the next level by implementing these designs on field-programmable gate arrays (FPGAs) and evaluate their resistance against modeling attacks using silicon CRPs. Our risk analysis on rMPUFs with up to seven MUXs stages using different challenge sizes show that all designs are vulnerable to machine learning attacks. Security enhancements are modest and come at the high cost of hardware overhead. Nevertheless, the proposed rMPUFs can be a good candidate for weak PUFs with access-restricted protocols, considering the stability of the responses that do not deteriorate with enhancements in the designs' security.","","978-1-6654-1256-8","10.1109/ICCCS52626.2021.9449179","National Science Foundation(grant numbers:CNS-1526055); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9449179","physical unclonable functions;IoTs Security;machine learning;IoTs authentication;FPGA","Multiplexing;Protocols;Machine learning;Physical unclonable function;Stability analysis;Silicon;Hardware","cryptography;field programmable gate arrays;learning (artificial intelligence);logic design;risk analysis","silicon data;rMPUF;Physical Unclonable Functions;Multiplexer PUF variant;delay-based PUFs;field-programmable gate arrays;modeling attacks;silicon CRPs;machine learning attacks;security enhancements;weak PUFs;designs","","2","","33","IEEE","21 Jun 2021","","","IEEE","IEEE Conferences"
"HAM: Hotspot-Aware Manager for Improving Communications With 3D-Stacked Memory","X. Wang; A. Tumeo; J. D. Leidel; J. Li; Y. Chen","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; High Performance Computing Group of Pacific Northwest National Laboratory, Richland, WA, USA; Tactical Computing Laboratories, Muenster, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","IEEE Transactions on Computers","24 May 2021","2021","70","6","833","848","Emerging High-Performance Computing (HPC) workloads, such as graph analytics, machine learning, and big data science, are data-intensive. Data-intensive workloads usually present fine-grained memory accesses with limited or no data locality, and thus incur frequent cache misses and low utilization of memory bandwidth. 3D-stacked memory devices such as Hybrid Memory Cube (HMC) and High Bandwidth Memory (HBM) can provide significantly higher bandwidth than conventional memory modules. However, the traditional interfaces and optimization methods for JEDEC DDR devices do not allow to fully exploit the potential performance of 3D-stacked memory with the massive amount of irregular memory accesses of data-intensive applications. In this article, we propose a novel Hotspot-Aware Manager (HAM) infrastructure for 3D-stacked memory devices capable of optimizing memory access streams via request aggregation, hotspot detection, and in-memory prefetching. We present the HAM design and implementation, and simulate it on a system using RISC-V embedded cores with attached HMC devices. We extensively evaluate HAM with over 12 benchmarks and applications representing diverse irregular memory access patterns. The results show that, on average, HAM reduces redundant requests by 37.51 percent and increases the prefetch buffer hit rate by 4.2 times, compared to a baseline streaming prefetcher. On the selected benchmark set, HAM provides performance gains of 21.81 percent in average (up to 34.28 percent), and power savings of 35.07 percent over a standard 3D-stacked memory.","1557-9956","","10.1109/TC.2021.3066982","National Science Foundation(grant numbers:CCF-1409946,CCF-1718336,OAC-1835892,CNS-1817094,CNS-1939140); Pacific Northwest National Laboratory; Data-Model Convergence (DMC) Initiative; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381710","Memory hotspot;3D-stacked memory;coalescing;prefetching;HBM;HMC;communications","Memory management;Random access memory;Bandwidth;Program processors;Prefetching;Three-dimensional displays;Performance evaluation","buffer storage;DRAM chips;memory architecture;parallel processing","data-intensive applications;hotspot-aware manager infrastructure;in-memory prefetching;attached HMC devices;irregular memory access patterns;high-performance computing workloads;big data science;data-intensive workloads;fine-grained memory accesses;data locality;hybrid memory cube;high bandwidth memory;JEDEC DDR devices;three dimensional-stacked memory devices;HPC;memory access stream optimisation;request aggregation;hotspot detection;HAM design;RISC-V embedded cores;prefetch buffer hit rate;baseline streaming prefetcher","","","","45","IEEE","18 Mar 2021","","","IEEE","IEEE Journals"
"Human-Guided Robot Behavior Learning: A GAN-Assisted Preference-Based Reinforcement Learning Approach","H. Zhan; F. Tao; Y. Cao","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Electrical and Computer Engineering, University of Texas at San Antonio, San Antonio, Texas, USA; Department of Electrical and Computer Engineering, University of Texas at San Antonio, San Antonio, Texas, USA","IEEE Robotics and Automation Letters","24 Mar 2021","2021","6","2","3545","3552","Human demonstrations can provide trustful samples to train reinforcement learning algorithms for robots to learn complex behaviors in real-world environments. However, obtaining sufficient demonstrations may be impractical because many behaviors are difficult for humans to demonstrate. A more practical approach is to replace human demonstrations by human queries, i.e., preference-based reinforcement learning. One key limitation of the existing algorithms is the need for a significant amount of human queries because a large number of labeled data is needed to train neural networks for the approximation of a continuous, high-dimensional reward function. To reduce and minimize the need for human queries, we propose a new GAN-assisted human preference-based reinforcement learning approach that uses a generative adversarial network (GAN) to learn human preferences and then replace the role of human in assigning preferences. The adversarial neural network is simple and only has a binary output, hence requiring much less human queries to train. Moreover, a maximum entropy based reinforcement learning algorithm is designed to shape the loss towards the desired regions or away from the undesired regions. To show the effectiveness of the proposed approach, we present some studies on complex robotic tasks without access to the environment reward in a typical MuJoCo robot locomotion environment. The obtained results show our method can achieve a reduction of about 99.8% human time without performance sacrifice.","2377-3766","","10.1109/LRA.2021.3063927","Army Research Office(grant numbers:W911NF-21-1-0103); Office of Naval Research(grant numbers:N000141912278,N000141712613); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9369902","Generative adversarial network (GAN);human preferences;reinforcement learning","Trajectory;Reinforcement learning;Neural networks;Robots;Training;Entropy;Task analysis","control engineering computing;human-robot interaction;intelligent robots;learning (artificial intelligence);neural nets","high-dimensional reward function;continuous reward function;MuJoCo robot locomotion environment;adversarial neural network;generative adversarial network;human-guided robot behavior learning;GAN-assisted human preference-based reinforcement learning;maximum entropy based reinforcement learning;human time;human preferences;human queries;human demonstrations;robot behavior learning","","6","","36","IEEE","4 Mar 2021","","","IEEE","IEEE Journals"
"Multilevel Identification and Classification Analysis of Tor on Mobile and PC Platforms","L. Wang; H. Mei; V. S. Sheng","School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China; School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, China; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","IEEE Transactions on Industrial Informatics","19 Nov 2020","2021","17","2","1079","1088","In digitalized and automated systems, more and more intelligent devices have become an import part of industrial Internet of Things (IIOT). However, the lack of security in IIOT makes people facing unprecedented threats from the Dark web. Traffic classification is an important means to prevent anonymous attacks. However, the growing usage of smartphones in daily life is deeply changing the nature of network traffic, which makes traffic classification more challenging. In this article, we propose a Tor traffic identification and multilevel classification framework based on network flow features, which realizes the identification of anonymous traffic (L1), traffic types (L2) of anonymous traffic, and applications (L3) on a mobile and a PC platform, respectively. We further analyze differences between the mobile and the PC platform. We conclude that the impact of time-related features is higher than that of the nontime-related features on the mobile platform, while it is opposite on the PC platform. And it is more difficult to identify and classify Tor types (L2) and specific Tor applications (L3) on the mobile platform than on the PC platform, including using different number of features and early identification and classification.","1941-0050","","10.1109/TII.2020.2988870","National Natural Science Foundation of China(grant numbers:U1736216); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9072571","Anonymous network;mobile anonymous network;The Onion Router (Tor);Tor identification;traffic classification","Mobile handsets;Cryptography;Tools;Internet;Machine learning;Operating systems;Informatics","Internet;pattern classification;telecommunication traffic","nontime-related features;time-related features;traffic types;anonymous traffic;network flow features;multilevel classification framework;Tor traffic identification;network traffic;anonymous attacks;traffic classification;IIOT;import part;intelligent devices;automated systems;digitalized systems;specific Tor applications;Tor types;PC platform;mobile platform","","16","","31","IEEE","20 Apr 2020","","","IEEE","IEEE Journals"
"Location-Aware Service Recommendations With Privacy-Preservation in the Internet of Things","W. Lin; X. Zhang; L. Qi; W. Li; S. Li; V. S. Sheng; S. Nepal","Institute of VR and Intelligent System, Hangzhou Normal University, Hangzhou, China; Department of Computing, Macquarie University, Sydney, NSW, Australia; School of Information Science and Engineering, Qufu Normal University, Rizhao, China; School of Computer Engineering and Technology, Shanghai University, Shanghai, China; Computer Science and Creative Technologies Department, University of the West of England, Bristol, U.K.; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; CSIRO, Eveleigh, NSW, Australia","IEEE Transactions on Computational Social Systems","29 Jan 2021","2021","8","1","227","235","With the ever-increasing maturity and popularization of the Internet of Things (IoT), tremendous business applications developed by distinct enterprises or organizations have been encapsulated into lightweight web services that can easily be accessed or invoked remotely. However, the big volume of candidate web services places a heavy burden on the users' service selection decision-making process. Under the circumstance, a variety of intelligent recommendation solutions have been developed to reduce the high decision-making cost. Traditional resolutions usually challenge in two aspects. First, the recommendation parameters, i.e., the quality of services (QoS), usually relies on user/service location heavily; therefore, low-quality recommended results may be returned to users if user/service location information is overlooked. Second, historical QoS data often contain partial sensitive information of users; therefore, it becomes a necessity to protect the sensitive QoS data while making accurate recommendation decisions. To tackle the above challenges, we introduce the concepts of user/service location information and locality-sensitive hashing (LSH) in the domain and propose a location-aware recommendation approach with privacy-preservation capability. A wide range of experiments is set up based on the popular WS-DREAM data set, whose results prove the effectiveness and efficiency of our approach.","2329-924X","","10.1109/TCSS.2020.2965234","National Key Research and Development Program of China(grant numbers:2017YFE0117500); National Science Foundation of China(grant numbers:61872219,61672276,61702277); Natural Science Foundation of Shandong Province(grant numbers:ZR2019MF001); Open Project funded by State Key Laboratory of Novel Software Technology, Nanjing University(grant numbers:KFKT2019B19); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8982047","Locality-sensitive hashing (LSH);location;privacy;quality of service (QoS);recommender system","Quality of service;Web services;Decision making;Data privacy;Internet of Things;Privacy;Intelligent sensors","data privacy;decision making;Internet of Things;location based services;mobile computing;quality of service;recommender systems;Web services","location-aware service recommendations;business applications;lightweight Web services;candidate Web services;high decision-making cost;historical QoS data;partial sensitive information;sensitive QoS data;privacy-preservation capability;Internet of Things;user service selection;quality of services;locality-sensitive hashing;LSH;WS-DREAM data set","","10","","44","IEEE","4 Feb 2020","","","IEEE","IEEE Journals"
"Photo2Trip: Exploiting Visual Contents in Geo-Tagged Photos for Personalized Tour Recommendation","P. Zhao; C. Xu; Y. Liu; V. S. Sheng; K. Zheng; H. Xiong; X. Zhou","Institute of AI, School of Computer Science and Technology, Soochow University, Suzhou, China; Institute of AI, School of Computer Science and Technology, Soochow University, Suzhou, China; NEC Labs America, Princeton, NJ, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; University of Electronic Science and Technology, Chengdu, China; Management Science and Information Systems Department, Rutgers University, Piscataway, NJ, USA; University of Queensland, Brisbane, QLD, Australia","IEEE Transactions on Knowledge and Data Engineering","8 Mar 2021","2021","33","4","1708","1721","Recently accumulated massive amounts of geo-tagged photos provide an excellent opportunity to understand human behaviors and can be used for personalized tour recommendation. However, no existing work has considered the visual content information in these photos for tour recommendation. We believe the visual features of photos provide valuable information on measuring user / Point-of-Interest (POI) similarities, which is challenging due to data sparsity. To this end, in this paper, we propose a visual feature enhanced tour recommender system, named ‘Photo2Trip’, to utilize the visual contents and collaborative filtering models for recommendation. Specifically, we propose a Visual-enhanced Probabilistic Matrix Factorization model (VPMF), which integrates visual features into the collaborative filtering model, to learn user interests by leveraging the historical travel records. We then extend VPMF to End-to-End training framework to incorporate users (POIs) latent factors into the learning process of the visual content of photos, which generalizes the applicability of the proposed VPMF framework in tour recommendation. Extensive empirical studies verify that our proposed visual-enhanced personalized tour recommendation method outperforms other benchmark methods in terms of recommendation accuracy. The results also show that visual features are effective in alleviating the data sparsity and cold start problems on personalized tour recommendation.","1558-2191","","10.1109/TKDE.2019.2943854","National Natural Science Foundation of China(grant numbers:61876117,61876217,61772356,6172820561972069); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8850032","Tour recommendation;collaborative filtering;visual content","Visualization;Collaboration;Probabilistic logic;Training;Planning;Correlation;Task analysis","collaborative filtering;learning (artificial intelligence);matrix decomposition;recommender systems","visual-enhanced personalized tour recommendation method;End-to-End training framework;Visual-enhanced Probabilistic Matrix Factorization model;collaborative filtering model;visual feature enhanced tour recommender system;Point-of-Interest similarities;visual features;visual content information;recently accumulated massive amounts;geo-tagged photos;Visual contents;Photo2Trip","","9","","49","IEEE","26 Sep 2019","","","IEEE","IEEE Journals"
"Trigger-Based Incremental Data Processing with Unified Sync and Async Model","D. Dai; Y. Chen; D. Kimpe; R. B. Ross","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Mathematics and Computer Science Division, Argonne National Laboratory, Chicago, IL, USA; Mathematics and Computer Science Division, Argonne National Laboratory, Chicago, IL, USA","IEEE Transactions on Cloud Computing","5 Mar 2021","2021","9","1","372","385","In recent years, more and more applications in the cloud have needs to process large-scale on-line datasets, which evolve over time as new entries are added and existing entries are modified. Several programming frameworks, such as Percolator and Oolong, are proposed for such incremental data processing and can achieve efficient processing with an event-driven abstraction. However, these frameworks are inherently asynchronous, leaving the heavy burden of managing synchronization to applications' developers, which further significantly restricts their usabilities. In this study, we propose a trigger-based incremental computing framework in the cloud, called Domino, with both synchronous and asynchronous mechanisms to coordinate parallel triggers. With this new framework, both synchronous and asynchronous applications can be seamlessly developed. Use cases and extensive evaluation results confirm that it can deliver sufficient performance, and also is easy to use for incremental applications in large-scale distributed computing.","2168-7161","","10.1109/TCC.2018.2830348","U.S. Department of Defense; U.S. Department of Energy(grant numbers:DE-AC02-06CH11357); National Science Foundation(grant numbers:CNS-1338078,CNS-1162488); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8392435","Programming framework;cloud;incremental computing","Synchronization;Cloud computing;Programming;Data models;Servers;Computational modeling;Runtime","distributed processing;program diagnostics;synchronisation","event-driven abstraction;trigger-based incremental computing framework;synchronous mechanisms;asynchronous mechanisms;parallel triggers;large-scale distributed computing;trigger-based incremental data processing;unified sync;async model;programming frameworks;large-scale on-line datasets","","2","","39","IEEE","21 Jun 2018","","","IEEE","IEEE Journals"
"CDMI: A Clockwise-Displacement Algorithm to Compute Multiplicative Inverse","H. Abu-gellban; L. Nguyen","Department of Computer Science, Texas Tech University, USA; Whitacre College of Engineering, Texas Tech University, USA","2020 International Conference on Computational Science and Computational Intelligence (CSCI)","23 Jun 2021","2020","","","1407","1410","A multiplicative inverse (MI) algorithm is used in several fields, like cryptography algorithms. There are many MIs, however, these algorithms suffer from using several multiplication and division operations, which take more execution time than additions and subtractions. We created a new algorithm called Clockwise-Displacement (CDMI) by using addition and subtraction operations in the iterative steps instead of multiplications and divisions. Additionally, numerous MIs face the undecidable problem because of the floating-point issue. Whereas, CDMI tackles this issue by converting the domain from the floatingpoint space to integer space. Therefore, CDMI declines the time consuming to calculate the multiplicative inverse by applying fewer divisions and multiplications (expensive operations) and addresses the rounding error issue in some MI Algorithms.","","978-1-7281-7624-6","10.1109/CSCI51800.2020.00261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9458207","Multiplicative Inverse;Security;Public Key Techniques;Asymmetric Techniques;Cryptography","Scientific computing;Iterative algorithms;Cryptography;Faces;Computational intelligence","cryptography;floating point arithmetic;iterative methods;mathematics computing","clockwise-displacement algorithm;division operations;cryptography algorithms;multiplicative inverse algorithm;MI algorithms;floating-point issue;CDMI","","2","","19","IEEE","23 Jun 2021","","","IEEE","IEEE Conferences"
"Energy Usage of Deep Learning in Smart Cities","S. Puangpontip; R. Hewett","Department of Computer Science, Texas Tech University, Lubbock, USA; Department of Computer Science, Texas Tech University, Lubbock, USA","2020 International Conference on Computational Science and Computational Intelligence (CSCI)","23 Jun 2021","2020","","","1143","1148","Deep learning has increasingly become an essential component of many Smart City functions including smart city lightings, emergency rescues, smart drainage, and smart parking. These functions operate continuously in real-time throughout the day. Thus, excessive energy usage of deep learning computation can negatively impact economic benefits and efficiency of smart cities. The situation can escalate when dealing with resource-constrained large-scale smart cities of huge Internet-of-Things and networks with large numbers and varieties of sensors. To effectively sustain, manage and protect smart cities from failures due to energy overload, the awareness of energy consumption by deep learning computation is unavoidably necessary. Most recent research in smart cities focuses on using deep learning to perform certain tasks but does not address energy issues. This paper presents a formal approach to estimating energy consumption of deep learning and illustrates its use in smart cities. In particular, we develop a fine-grained mathematical model that extends an existing model to include the quantification of MAC (multiply-and-accumulate) operations as well as data access from a memory hierarchy. This paper focuses on deep and convolutional neural networks. We describe the proposed approach and validate the results obtained from our model by comparing them against those of existing work. The proposed approach is applied to three (deep) neural systems in smart cities, namely smart drainage, smart transportation and smart parking systems, all of which yield promising results.","","978-1-7281-7624-6","10.1109/CSCI51800.2020.00214","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9457878","energy consumption;deep learning;smart city","Deep learning;Energy consumption;Smart cities;Scientific computing;Lighting;Real-time systems;Smart transportation","convolutional neural nets;deep learning (artificial intelligence);emergency services;energy consumption;failure analysis;Internet of Things;lighting;mathematical analysis;power distribution economics;power distribution faults;power engineering computing;sensors;smart cities;smart power grids;sustainable development","deep learning computation;energy consumption;smart drainage;smart city lightings;emergency rescue;economic benefits;smart parking systems;smart cities efficiency;Internet-of-things;sensors;energy overload failures;mathematical model;MAC operations;multiply-and-accumulate operations;deep neural networks;convolutional neural networks;smart transportation","","2","","14","IEEE","23 Jun 2021","","","IEEE","IEEE Conferences"
"Ethereum Smart Contracts: Vulnerabilities and their Classifications","Z. A. Khan; A. Siami Namin","Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University","2020 IEEE International Conference on Big Data (Big Data)","24 May 2021","2020","","","1","10","Smart contract (SC) is an extension of BlockChain technology. Ethereum BlockChain was the first to incorporate SC and thus started a new era of crypto-currencies and electronic transactions. Solidity helps to program the SCs. Still, soon after Solidity's emergence in 2014, Solidity-based SCs suffered many attacks that deprived the SC account holders of their precious funds. The main reason for these attacks was the presence of vulnerabilities in SC. This paper discusses SC vulnerabilities and classifies them according to the domain knowledge of the faulty operations. This classification is a source of reminding developers and software engineers that for SC's safety, each SC requires proper testing with effective tools to catch those classes' vulnerabilities.","","978-1-7281-6251-5","10.1109/BigData50022.2020.9439088","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9439088","Smart Contract;Ethereum;EVM;vulnerabilities;Solidity;tools","Conferences;Smart contracts;Blockchain;Big Data;Tools;Software;Safety","blockchains;computer crime;contracts;cryptocurrencies;software engineering","crypto-currencies;electronic transactions;SC account holders;Ethereum smart contracts;BlockChain technology;solidity-based SC;SC vulnerability classification;Ethereum BlockChain","","6","","57","IEEE","24 May 2021","","","IEEE","IEEE Conferences"
"Coordinating Disaster Emergency Response with Heuristic Reinforcement Learning","Z. Yang; L. Nguyen; J. Zhu; Z. Pan; J. Li; F. Jin","Department of Statistics, George Washington University; Department of Computer Science, Texas Tech University; Department of Civil and Environmental Engineering, University of California, Davis; Department of Computer Science, Texas Tech University; Walmart Global Tech; Department of Statistics, George Washington University","2020 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)","24 Mar 2021","2020","","","565","572","Ahstract-A crucial and time-sensitive task when any disaster occurs is to rescue victims and distribute resources to the right groups and locations. This task is challenging in populated urban areas, due to a huge burst of help requests made in a very short period. To improve the efficiency of the emergency response in the immediate aftermath of a disaster, we propose a heuristic multi-agent reinforcement learning scheduling algorithm, named as ResQ, which can effectively schedule a rapid deployment of volunteers to rescue victims in dynamic settings. The core concept is to quickly identify victims and volunteers from social network data and then schedule rescue parties with an adaptive learning algorithm. This framework performs two key functions: 1) identify trapped victims and volunteers, and 2) optimize the volunteers' rescue strategy in a complex time-sensitive environment. The proposed ResQ algorithm can speed up the training processes through a heuristic function which reduces the state-action space by identifying a set of particular actions over others. Experimental results showed that the proposed heuristic multi-agent reinforcement learning based scheduling outperforms several state-of-art methods, in terms of both reward rate and response times.","2473-991X","978-1-7281-1056-1","10.1109/ASONAM49781.2020.9381416","NSF(grant numbers:CNS-1737634); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381416","","Schedules;Social networking (online);Heuristic algorithms;Urban areas;Reinforcement learning;Emergency services;Task analysis","disasters;emergency management;learning (artificial intelligence);multi-agent systems;scheduling;social networking (online)","coordinating disaster emergency response;help requests;scheduling algorithm;social network data;adaptive learning algorithm;trapped victims;ResQ algorithm;heuristic multiagent reinforcement learning scheduling algorithm;volunteer rescue strategy","","","","29","USGov","24 Mar 2021","","","IEEE","IEEE Conferences"
"An Interactive Platform to Track Global COVID-19 Epidemic","Z. Pan; D. Mehta; A. Tiwari; S. Ireddy; Z. Yang; F. Jin","Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University; Department of Statistics, George Washington University; Department of Statistics, George Washington University","2020 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)","24 Mar 2021","2020","","","948","951","This project built a world-wide database of coron-avirus cases, which helps to model the spread of the coronavirus disease (COVID-19), and to identify policy and social factors that impact the spread of COVID-19. Four essential tasks are implemented: 1) build a comprehensive database of coronavirus cases world-wide; 2) visualize the heatmap of confirmed cases for each country, provide detailed spreading trends for each countries and comparison among countries; 3) collect tweets about COVID-19 in real-time and extract people's daily concern flow; 4) integrate breaking news such as first confirmed/death case in each country. This demo will provide decision-makers with accurate data-driven representations in an easy to understand format that enables them to make more timely and cost-effective preparation and response plans.","2473-991X","978-1-7281-1056-1","10.1109/ASONAM49781.2020.9381436","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381436","","COVID-19;Social networking (online);Tools;Market research;Real-time systems;Visual databases;Monitoring","data visualisation;database management systems;decision making;diseases;epidemics;interactive systems;medical information systems;social networking (online)","interactive platform;world-wide database;Coronavirus disease;social factors;comprehensive database;Coronavirus cases;global COVID-19 epidemic;COVID-19;heatmap visualization;spreading trends;tweets;breaking news;decision-makers;data-driven representations;cost-effective preparation;response plans","","2","","8","IEEE","24 Mar 2021","","","IEEE","IEEE Conferences"
